track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec
0hLNnH60GDK1TZxDNxhVfT,Malabaris,186614,57,"['indie dance', 'brazilian bass', 'melodic techno', 'electronic', 'melodic house', 'electro']",6W2NbGfbvj5YlYqhaUWvAc,Malabaris,2026-01-09,,"['28uJnu5EsrGml2tBd7y8ts', '3CnCN1QeftBXVbsXWmmNyB']","['Vintage Culture', 'Mila Journée']",2026,186.614
0TIqjf7yGTJ4ehJQb9g2zs,When It Kicks - Rebūke Remix,212034,38,"['house', 'melodic techno', 'acid techno', 'techno', 'chicago house', 'tech house']",0JcHj3ewcpmNbfYYIdDzAa,When It Kicks (Rebūke Remix),2026-01-23,,"['7mC3RkNNTV6p2j9w4F8Ip4', '3ABaec4jjl95VqmG1iD4k2', '113reBz1jA6rVxbXl55mlj']","['Layton Giordani', 'Green Velvet', 'Rebūke']",2026,212.034
4pUnr7t45pp0CwV534HinV,Body Drift,212323,46,"['techno', 'hard house']",4ld5TL0DtX4khDspc0rBZa,Body Drift,2026-01-09,,['6pKJqozqp0jdugOsyFRGMx'],['BAUGRUPPE90'],2026,212.323
5Lud9rYTBNnTkt4FMoNYPG,Greedy,183750,54,['tech house'],4TupQBftGajUoFQrw9Z0CS,Greedy,2026-01-09,,"['1dESZUZevzhd5dzq9ZsMLI', '144ouiKO7kLKKiX1qyCkBI']","['bradeazy', 'Mike Renza']",2026,183.75
6Gk16Y5baO26U4hmIfQ5F2,Louder,193605,38,"['lo-fi house', 'acid house']",6aFjBLSGnG2dvUPmIZwb4B,Louder EP,2026-01-09,,['5DIVjY3STr8n4tEoN0dmui'],['Vitess'],2026,193.605
78OXlhLIGq3pMFvW3E8dBO,Ayer,169090,57,[],1x8rtOwt18ZUf6NFVewQgv,Ayer,2026-01-09,,['7ui1kBUIbujvJnIXxDjoWz'],['NIIKO X SWAE'],2026,169.09
1GYfRHuzZh7wBLS1qc25yt,FEVER,152178,61,['stutter house'],6GD2hZPbxrErWrPzLhdCRC,HYPERMOTION,2026-01-09,,['5TAU3fcCF32FqKMrdbXfRr'],['Angrybaby'],2026,152.178
50ok11f0G5I7bDrs0vCJwS,La Patrona,201892,47,"['psytrance', 'acid techno', 'techno', 'hard techno']",2wB5a5h3lAINVxvCne1L8i,La Patrona,2026-01-09,,['0JXc5G7ZImFTwPg3y8MTfR'],['Indira Paganotto'],2026,201.892
3BStc0xYHDEBzCvqO9vgwz,Don't Watch TV,246000,41,"['minimal techno', 'techno', 'melodic techno']",1VZISzi0Yd7I4AlKSaVeWd,Don't Watch TV,2026-01-08,,['0xgdNNa5mIbnJKp8AG8S4z'],['Victor Ruiz'],2026,246.0
6uaReMYzSpw9NFReHxAs1J,Vertigo,166477,49,['tech house'],62N5iJwmbeNaoG8sUYAhVh,Vertigo,2026-01-09,,"['6XYhu7HPIJ47SY98bY1Hnx', '0VijmgKPGaaOsmM6jWgbQJ']","['Kamino', 'Kyra Mastro']",2026,166.477
1V8jGaJlWkK4xUhdhFAwdB,I Fink U Freeky - Coone Remix,159870,50,"['edm', 'big room', 'frenchcore', 'hardcore', 'hardstyle']",2bZU7foUpJE1Cp9IoGScqU,I Fink U Freeky (Coone Remix),2026-01-09,,"['6xQvQwZQQuq9R3TdPNbcR8', '1Wt63OMKtv6v2ivHuQLm2C']","['Bassjackers', 'Coone']",2026,159.87
3t4qCykvePOC9UkFzkkpOO,Close Your Eyes,213923,52,"['minimal techno', 'acid techno', 'tech house', 'techno']",7bwDOWw83kF0dwfMol6XqL,Close Your Eyes,2026-01-16,,['1btv9qmIpbp7q1ixCYNdHu'],['Adam Beyer'],2026,213.923
