track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id
2rgtCOVK2tpfao2VjURn84,Lovers on the Sun (feat. Sam Martin),203520,74,"['dance', 'edm']",77UW17CZFyCaRLHdHeofZu,Listen,2014-11-10,,"['1Cs0zKBU1kc0i8ypK3B9ai', '66AE89GQTx88zLYhXn1wFK']","['David Guetta', 'Sam Martin']",2014.0,203.52,67PaYmoZUrRaSXaWEIJglP
7vcXWUS5ML6dJ3nkvSc9aR,Gold Skies (feat. Aleesia),329067,53,"['electronica', 'progressive house', 'big room', 'edm']",0dCEAJtX9VHBCXms2vgKfT,Gold Skies (feat. Aleesia),2014-06-16,,"['22bukBZvUppuwQwmDz75Gz', '60d24wfXkVzDSfLS6hyCjZ', '5X4LWwbUFNzPkEas04uU82', '1KV1BqrUpebQPqVU2r89xc']","['Sander van Doorn', 'Martin Garrix', 'DVBBS', 'Aleesia']",2014.0,329.067,67PaYmoZUrRaSXaWEIJglP
4b2tcjrG1qUkSdsqEFP2dB,Sun Is Shining,254653,71,['edm'],6Ei5WWek37m1x9AjpSXTcJ,More Than You Know,2017-07-28,,"['2XnBwblw31dfGnspMIwgWz', '1xNmvlEiICkRlRGqlNFZ43', '6hyMWrxGBsOx6sWcVj1DqP']","['Axwell /\\ Ingrosso', 'Axwell', 'Sebastian Ingrosso']",2017.0,254.653,67PaYmoZUrRaSXaWEIJglP
6rmtT7Y8cH7NpvovoPiV6k,Rude - Zedd Remix,273230,56,['edm'],4QLBuRlKOxUPE9BqIdHQyf,Rude (Zedd Remix),2014-09-02,,"['0DxeaLnv6SyYk2DOqkLO8c', '2qxJFvFYMEDqd7ui6kSAcq']","['MAGIC!', 'Zedd']",2014.0,273.23,67PaYmoZUrRaSXaWEIJglP
2ISSQPb9LHHiV6ng2NXosL,Beautiful Now,218293,73,['edm'],4jKdXIJckKh7la6xHuKwRT,True Colors,2015-05-15,,"['2qxJFvFYMEDqd7ui6kSAcq', '50JJSqHUf2RQ9xsHs0KMHg']","['Zedd', 'Jon Bellion']",2015.0,218.293,67PaYmoZUrRaSXaWEIJglP
0ct6r3EGTcMLPtrXHDvVjc,The Nights,176658,87,['edm'],0h2knr6qpiAq0tV5ri5JMF,The Days / Nights,2014-01-01,,['1vCWHaC5f2uS3yhpwWbIA6'],['Avicii'],2014.0,176.658,67PaYmoZUrRaSXaWEIJglP
2Kl1E3NdbzT7vVi93TffoX,Pompeii - Audien Remix,352968,53,"['progressive house', 'edm']",4QJKyqHqUUBWEGYD7wekvU,Pompeii (Audien Remix),2014-01-01,,"['7EQ0qTo7fWT7DPxmxtSYEc', '4xnMDfgEmXZEEDdITKcGuE']","['Bastille', 'Audien']",2014.0,352.968,67PaYmoZUrRaSXaWEIJglP
3ScJy88F8KqGDfWu8XJhHx,If I Lose Myself - Alesso vs OneRepublic,215186,75,"['soft pop', 'edm']",42UJjk8i8L0De7lQtu7sqi,Native,2014-01-01,,"['5Pwc4xIPtQLFEnJriah9YJ', '4AVFqumd2ogHFlRbKIjp1t']","['OneRepublic', 'Alesso']",2014.0,215.186,67PaYmoZUrRaSXaWEIJglP
4UutBLYMby6whu2bMYh9Oa,L'amour toujours (feat. Delaney Jane) - Tiësto Edit,162461,61,"['big room', 'house', 'trance', 'dance', 'edm']",7xHel31VzvhY5VoPFCiq6g,L'amour toujours (feat. Delaney Jane) [Tiësto Edit],2015-09-22,,"['5Ip2ecnyGpNyZvPuuYU8Ai', '3fuxStOqQv8TiytHeuGiE8', '2o5jDhtHVPhrJdv3cEQ99Z']","['Dzeko & Torres', 'Delaney Jane', 'Tiësto']",2015.0,162.461,67PaYmoZUrRaSXaWEIJglP
2aTAk8fQ0Hc5lIRkzudyxl,The Only Way Is Up,290629,37,"['big room', 'house', 'electronica', 'trance', 'dance', 'progressive house', 'edm']",7uRMRN3i207cnrLWzJIfRE,The Only Way Is Up,2015-12-11,,"['60d24wfXkVzDSfLS6hyCjZ', '2o5jDhtHVPhrJdv3cEQ99Z']","['Martin Garrix', 'Tiësto']",2015.0,290.629,67PaYmoZUrRaSXaWEIJglP
3ETdQhTQrwUPR2byMq3PcW,I Found Your Heart (feat. Emeni),204094,22,"['progressive house', 'big room', 'edm']",50hX4uEIaSksFTLfIaHX5p,I Found Your Heart (feat. Emeni),,,"['3XINWZaloea97SIRiyTJxX', '1D8yrW3hXeH45n9vYI0tY5']","['DubVision', 'Emeni']",,204.094,67PaYmoZUrRaSXaWEIJglP
6ulV6BN8zJe3t9JyvaEAsT,The One,148738,43,"['edm', 'big room']",2Ce207DBtIEFQjKU75Dnh2,The One,2015-06-29,,['2rTo8KIkBTFjQS7VvaKYQ4'],['W&W'],2015.0,148.738,67PaYmoZUrRaSXaWEIJglP
0t4ME6AIxRIUYWvywrj0wd,United We Dance - Radio Edit,202718,0,['edm'],2A9cBnAt5yjxbcmWhXfWut,United We Dance (Radio Edit),2014-11-03,,['0daugAjUgbJSqdlyYNwIbT'],['Vicetone'],2014.0,202.718,67PaYmoZUrRaSXaWEIJglP
