track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner
0TMFD7Pk2Er1W8xi6CDeTe,わたしの一番かわいいところ,260686,49,['j-pop'],1yqkn4Piqz9k6zS5csDap4,NEW KAWAII,2024-04-10,,['4v5IVXt3oH0iNuxW9O36BV'],['FRUITS ZIPPER'],2024,260.686,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,180304,89,[],29aSKB1qPEbN0Qf9OPSQpw,Beautiful Things,2024-01-18,,['22wbnEMDvgVIAGdFeek6ET'],['Benson Boone'],2024,180.304,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),171291,88,[],6egBeCLeGITzGSo5VyRjwZ,A Bar Song (Tipsy),2024-04-12,,['3y2cIKLjiOlp1Np37WiUdH'],['Shaboozey'],2024,171.291,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
6N26C3tVDH3PKG0IrCIMSk,I Had Some Help (Feat. Morgan Wallen),178205,66,['country'],12Cz4pEEUkmbc7FaLJL1Pf,I Had Some Help,2024-05-10,,"['246dkjvS1zLTtiykXe5h60', '4oUHIQIBe0LHzYfvXNW4QM']","['Post Malone', 'Morgan Wallen']",2024,178.205,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,172533,91,[],3VNxRarx9HUI5w7DHv0TBj,Stargazing,2024-05-10,,['3bO19AOone0ubCsfDXDtYt'],['Myles Smith'],2024,172.533,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
5ZLL6wYXeqg0k35ZkDRfhZ,Pour Me A Drink (Feat. Blake Shelton),195122,72,['country'],1WE56xSN0l6bnwGyLeQWdz,Pour Me A Drink,2024-06-21,,"['246dkjvS1zLTtiykXe5h60', '1UTPBmNbXNTittyMJrNkvw']","['Post Malone', 'Blake Shelton']",2024,195.122,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
0sTlGEld0h8kIPZaKDYUf4,Notion,195120,85,[],4Uf8BVznefnd2xZm2nRFUx,Notion,2021-12-02,,['1QfpRUtH14JLoY6F6AYmwt'],['The Rare Occasions'],2021,195.12,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
1aKvZDoLGkNMxoRYgkckZG,Magnetic,160688,84,['k-pop'],6irebIc6UO8fN0jl4UlzBS,SUPER REAL ME,2024-03-25,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT'],2024,160.688,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
0Ol7uhYjodbXAKKarXdn6r,Girls Never Die,187920,47,['k-pop'],3jOqNyGf9Vq9VPOMPRVK1w,<ASSEMBLE24>,2024-05-08,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,187.92,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
2bq5J7HeguxuaPDQrnfcSe,Non Scale,206226,22,['k-pop'],3jOqNyGf9Vq9VPOMPRVK1w,<ASSEMBLE24>,2024-05-08,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,206.226,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
4of6Q29G1IT1f1tcJ2hFuK,24,153373,31,['k-pop'],3jOqNyGf9Vq9VPOMPRVK1w,<ASSEMBLE24>,2024-05-08,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,153.373,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
39gaUtq2z4ejJbno7tWHbL,T.B.H,175880,64,"['k-pop', 'k-rock']",58749dw7F011CU9lRmX0MO,1st Mini Album 'MANITO',2024-04-01,,['0XufO9nLOKNN0w0qNrDrZy'],['QWER'],2024,175.88,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
0VfOZBCILsIrkJPzw3WdvA,SODA,178186,51,"['k-pop', 'k-rock']",58749dw7F011CU9lRmX0MO,1st Mini Album 'MANITO',2024-04-01,,['0XufO9nLOKNN0w0qNrDrZy'],['QWER'],2024,178.186,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
0aZG8KWrpRnsGL0loUkfSj,plot twist,152400,71,['k-pop'],25qO1VYd8BuT8m5w8CFpdG,TWS 1st Mini Album 'Sparkling Blue',2024-01-22,,['4GgBKgxhc649frZDHcXIEz'],['TWS'],2024,152.4,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
389rEslJY9vh7TZemIA4y7,絶対零度,198483,71,"['anime', 'j-pop']",4cAgsEZlaDdg3PSH3IAgEy,絶対零度,2024-04-05,,['6WmXWHmfBMhupyIs8MSqtu'],['natori'],2024,198.483,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
1njlnn8ZKHI77Pe9szIONR,SHEESH,170356,80,['k-pop'],0eSbsl3j8jz96LC2NCLPc4,BABYMONS7ER,2024-04-01,,['1SIocsqdEefUTE6XKGUiVS'],['BABYMONSTER'],2024,170.356,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
