track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names
0jnelJPBaLQcN5IearNmdi,Apple Pie,186258,67,['k-pop'],0SVlu6q116wFO1m4EZ088b,FOCUS - The 1st Mini Album,2025-10-20,,['1ZLU77nRzQIaP23mVSYpCQ'],['Hearts2Hearts']
6a5ldLz6vKhUKHvQp1HxiN,Pretty Please,204322,55,['k-pop'],0SVlu6q116wFO1m4EZ088b,FOCUS - The 1st Mini Album,2025-10-20,,['1ZLU77nRzQIaP23mVSYpCQ'],['Hearts2Hearts']
1lP4paUU6RuyAmK06jLT4K,Flutter,185244,61,['k-pop'],0SVlu6q116wFO1m4EZ088b,FOCUS - The 1st Mini Album,2025-10-20,,['1ZLU77nRzQIaP23mVSYpCQ'],['Hearts2Hearts']
5y2Z9s6B997Y2SWDSzy50T,Fly Up,160000,33,['k-pop'],4gnxSTXmjuehY7XYKXWkZC,msnz <Beyond Beauty>,2025-11-24,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS']
7jp2VW62Yt2bDOaRas3hR6,PSYCHO,195409,80,['k-pop'],2Accppyz0p8XZaSSCIAuDK,WE GO UP,2025-10-10,,['1SIocsqdEefUTE6XKGUiVS'],['BABYMONSTER']
22HT28Iy68Sek9XbO1gkOB,だだだ、だって。,250146,37,[],0AtLTw8CXfk9m1vPU9sVje,初恋シンデレラ,2024-10-16,,['0CXdxGaAia8vQLHVRFXW8a'],['≒JOY']
42J94dnS3YLChzMQqGLMA4,ブルーハワイレモン,257933,49,[],6vCm4g9aamnlgOLCH2B4gX,ブルーハワイレモン,2025-05-05,,['0CXdxGaAia8vQLHVRFXW8a'],['≒JOY']
1F2xgtYygqQjC1ZSPJvYtt,夢見る♡アイドル,241773,40,[],3LItA3vQfhIIrpbY7JWiEH,体育館ディスコ,2024-06-12,,['0CXdxGaAia8vQLHVRFXW8a'],['≒JOY']
37CQ5Pdjor06fW2XUmcNMw,初恋シンデレラ,275400,43,[],2hw5ni5aMLyNcbQPBTNH4u,初恋シンデレラ,2024-09-04,,['0CXdxGaAia8vQLHVRFXW8a'],['≒JOY']
6ISuWa8qPgszUSmnNA8rw7,いま、月は満ちる,282748,42,[],3XnJgUHouB4WUbC5BLwr1b,いま、月は満ちる,2025-08-17,,['0CXdxGaAia8vQLHVRFXW8a'],['≒JOY']
6XEp7oqXd6dpT9sZPpG4NB,今、恋をしている,245602,41,[],23fWGs6o8eUCKhooSeaGGP,今、恋をしている,2025-08-27,,['0CXdxGaAia8vQLHVRFXW8a'],['≒JOY']
2pk7dscW82XhsVQ6bHXHKj,好きだよとどっちが先に言うのか?,250194,13,[],4yGVXwRqoCm3IkuBlkxvnt,好きだよとどっちが先に言うのか?,2025-10-29,,['1ov2GNXK95X6AgVjzhrcDe'],['Rain Tree']
41D1ENuAFImWBe1to0cVmb,つまり,261847,5,[],42PSUfSN4Kl9VhYdNW4xWJ,つまり,2025-05-28,,['1ov2GNXK95X6AgVjzhrcDe'],['Rain Tree']
57YddLQCrn1VyEQFpZnGkc,あれはフェアリー,287343,36,['j-pop'],0HCUlTdKXb9NbrbA2KgIt2,あれはフェアリー,2025-11-15,,['0ZJdQMcIGWJn4Oh1O5Gku5'],['BOKUAO']
66Ye5WX8DCuwR6GIcA7BgN,"More, Sparkly",217333,24,[],5CUHbDT9b7V5zzwMvkqjns,"More, Sparkly",2025-12-08,,['573r1p29tKPr2KNUNZkPww'],['MORE STAR']
3k9s22FI0iGikPaRarekLG,Kiss Me Pattisier,216000,33,['j-pop'],5IBV570oJuOz3U7GXctW14,CANDY TUNE,2023-03-07,,['4Yq4M6kdQTjkPBOp7aPJrA'],['CANDY TUNE']
21Voc0YrTGCItgMhvJVtwo,"Call me, Tell me",204666,21,[],6t7WjXzag8z1H6tBCuVC4X,"Call me, Tell me",2024-05-24,,['1UyIqMBjk0DMexWtQF2X1i'],['SWEET STEADY']
0VngDhsGDiCHcx6r5fwXN7,KAWAII COLLECTION,218502,23,[],0lb7qQ1PO6Un4M0M4stvmc,KAWAII COLLECTION,2025-11-04,,['1UyIqMBjk0DMexWtQF2X1i'],['SWEET STEADY']
4Re9Zb9uYlMtMiZy7HFFw5,Sukisugite METSU!,212400,48,['j-pop'],1hKC0UQuVBNgilSQEwKPbo,Sukisugite METSU!,2025-10-27,,['4jhJ8cnJ9vYKyCh289nuwQ'],['M!LK']
5hVAQTNarrb3lmWqg9Ens4,Answer,246000,54,"['anime', 'j-pop']",6jWEkDAAvJ18hqR0QAR60B,Answer,2021-03-09,,['1qM11R4ylJyQiPJ0DffE9z'],['Lilas']
5LM36azlFbguUgRCWBcDUn,Actor,230586,55,"['anime', 'j-pop']",0QmujzTxQFdS9zYbfJznnJ,Laugh,2025-12-10,,['1qM11R4ylJyQiPJ0DffE9z'],['Lilas']
34K5AwOfWfQIx0fGSOHZmk,With,229680,39,"['anime', 'j-pop']",0QmujzTxQFdS9zYbfJznnJ,Laugh,2025-12-10,,['1qM11R4ylJyQiPJ0DffE9z'],['Lilas']
51oqrSzw8jeWVSFgBAyAz9,Sign,260013,39,"['anime', 'j-pop']",0QmujzTxQFdS9zYbfJznnJ,Laugh,2025-12-10,,['1qM11R4ylJyQiPJ0DffE9z'],['Lilas']
